creador;nick_instagram;nick_tiktok;nick_youtube;nick_twitch;nick_podcast;nick_twitter;nick_facebook;check
46600_pel_mon;;46600_pel_mon;;;;;;1
ACICOM. Associació Ciutadania i Comunicació;acicom_cc;;CANAL-ACICOM;;;acicom_;ACICOM;1
Acadèmia Valenciana de la Llengua;avloficial_;;academiavalencianadelallen1454;;;AVLoficial;academiavalencianadelallengua;1
Acció Cultural del País Valencià;AccioCulturalPV;;AccioCulturalPV;;;AccioCulturalPV;AccioCulturalPV;1
Això com és?;aixocomes;;AixoComEs;;show/1YAMPJzEoEi06zZJ4zo8pT?si=b80923b8c8204444;;;1
Això no és Veritat;;;aixonoesveritat8710;;show/0qIE47HGJyc8jOvwQV6zcR?si=Usv9uRNHSnWuma52nj0fdA&nd=1;aixonoesveritat;aixonoesveritat;1
Alvamoll7;;;alvamoll7;;;Alvamoll7_Racer;;1
Animals Polítics;animals_politics;;AnimalsPolítics;;show/5hIX2SQ0aooVVBT61VxBeP?si=d506870918ee486b;;;1
Açò és de cine;acoesdecine;;açoesdecine;;show/5EpCBqXVTwVLJ9ohLDHgbU?si=590dc73cbaf5431e;;;1
Bar Trinquet;bartrinquet.podcast;;BarTrinquet;;show/0kwmCwiVJwKSrcpw2hlZLM;;;1
Casella d’Eixida;casellaeixida;;CaselladEixida;;show/2ZKRpqK8EHgtgdEBE2oXKl?si=5fa5c5dc3d734967;casellaeixida;;1
Cinestèsia;cinestesiaweb;;parlarpernocallar;;show/4Uh2oG3NtbD27kiRT7QZ4I?si=4f3c2459fb4845d0&nd=1;;;1
Cròniques Edetanes;;;;;show/3mamkXwSH9h7EwsrsiHpBs?si=2a59c4f55aa34862;;;1
De Sentit Comú;la_comarca_cientifica;;LaComarcaCientífica;;show/4B7I7a2wxi00yTwyWgxdrV;la_cocientifica;lacomarcacientifica;1
De mica en mica. Dra. Aina Monferrer;ainamonferrer;;AinaMonferrerPalmer;;;ainamonferrer;;1
Del Parpalló al Ventorro;delpalv;;delparpalloalventorro;;show/3Y841LL9bdELiTZBYz1QX0?si=7cb589b0e1384bfe&nd=1&dlsi=bb2dfe8696c44849;;;1
Disfrutons;podcastdisfrutons;podcastdisfrutons;playlist?list=PL-EOWS3CwMV1BYcOZv9aSGilxQU2pmBYk;;show/4dVHmVMXPu7qT30KPAB7xd;;;1
Diàlegs amb Emma Tomàs;dialegs_;emma.tomas;DiàlegsambEmmaTomàs;;;emmatomas_;;1
El Dolcet Pal Café;eldolcet_podcast;;eldolcetpalcafe;;show/2nfNLZxZxDENownQoQqTev?si=95bef09b048e4cf6&nd=1;eldolcetpalcafe;;1
En la motet;en_la_motet;;enlamotet;;;;;1
En peu de festa;enpeudefesta;;;;show/0uiS5f5lm0XynaCNGXRAAb?si=10dac8c90d594bfd;enpeudefesta;En-Peu-De-Festa;1
Entrant en Joc;javioje;javioje9;javioje;;show/6XfmCWwtSNuOtNEkTVOUCP?si=64ac1e7d60304c77&nd=1&dlsi=c3a6ced1e3094cdc;javioje9;;1
Entre Nosaltres;entrenosaltres_podcast;;;;show/6m8cLltG97JiI2XAe8Y6WB;;;1
Escola Valenciana;escolavalenciana;;EscolaValenciana;;;escolatv;;1
Fran Molla;fmollac76;;franmolla1538;;;FranMolla76;;1
Gent Ràndom;somgentrandom;;;;show/5ptSK1CZL2EGDz8aUNZYF3?si=5d9e1a9ea54544cb;gentrandom;;1
Greuges Pendents;greuges;;;;show/0oQBTJOEyYYCIKHfNgnVEL;greugespendents;;1
La Comoditat Valenciana;lacomoditatvalenciana;la.comoditat.vale;lacomoditatvalenciana;;show/0ihxJbgoREgikJgqe4UdKu?si=17dcf059254b4d24;lacomoditat;;1
La Nostra Veu;diarilaveu;;Laveupv;;show/5Ni3SKRUwUjVR782AvIlo9;diarilaveucat;;1
